kana,hina,romaji,english,explanation
ドサドサ,どさどさ,dosa dosa,(1) *falling*;(2) *whump whump**thump thump*;(3) *flap flap*,(1) SFX for falling objects.  See also *dosa*;(2) SFX for falling objects.  See also *dosa*;(3) SFX for flailing limbs.
ドサン,どさん,dosan,*THUD**FWUMP**BAM!*,See also *dosa*.
ドシャ,どしゃ,dosha,*thud*,See also *dosa*.
ドシン,どしん,doshin,*heavy thud*,
ドシュ,どしゅ,doshu,*slash*,And giving a pretty deep wound.
ドッサッゴッサッ,どっさっごっさっ,dossa gossa,*toss toss*,"SFX for ""tossing"" or flipping something in a repetitive, flowing motion.Ex: when cooking food with a big pan, you could lift the pan and toss the food a few times to stir instead of using the spatula."
ドッサリ,どっさり,dossari,*fwump* *stack* *pile*,"With emphasis on the idea of something piled on top of each other, like a tall mountain of books or papers."
ドッシリ,どっしり,dosshiri,(1) *dignified* *imposing*;(2) *bulky* *heavy*;(3) *tada*,(3) SFX for describing a moment of pride or great importance or impact (may be exaggerated for humorous effect).
ドッシュ,どっしゅ,dosshu,*slash*,A cut through bone.
ドッスン,どっすん,dossun,*tha-dump*,
ドス,どす,dosu,(1) *stab*;(2) *put down roughly*;(3) *spurting*;(4) *punch*;(5) *thwack*,"(2) To put something down roughly, something bigger as with *doka*"
ドスドス,どすどす,dosu dosu,*stomp stomp**thud thud*,"Sound of heavy footsteps, running."
ドスン,どすん,dosun,*thud*,"Sound of something heavy sitting down/falling; lighter impact than *zushin*, harder impact than *patan*."
ドタ,どた,dota,*thud*,
ドタバタ,どたばた,dota bata,*thud thud thud*,"Running around fussily or wildly, in panic or confusion.  Compare to *jitabata* for flailing."
ドタドタ,どたどた,dota dota,*stomp stomp*,SFX for heavy feet.
ドターン,どたーん,dota-n,*thud*,"Sound of something heavy falling, heavy impact (i.e. person falling to the floor)."
ドテ,どて,dote,*fall* *tumble*,A clumsy fall.
ドッタア,どったあ,dottaa,*thud* *fall*,"SFX for falling and crashing, mostly like a dull thud."
ドッタン,どったん,dottan,*clamor* *ruckus*,See also *batan*.
ドット,どっと,dotto,*suddenly**all at once**one after another*,"Ex: ""I walked around all day, and suddenly now I'm tired.""Ex: ""People exited the train one after another."""
ドウッ,どうっ,dou,*whoosh* *fwoosh* *whoom*,"SFX for speedy, smooth, powerful movement."
ドウドウ,どうどう,dou dou,*whoa whoa*,"SFX for command used to stop a horse, etc."
ドヨーン,どよーん,doyo-n,*depressed**gloomy**doomed*,
ドヨン,どよん,doyon,*sluggish* *exhausted* *depressed*,See also *bo*.
トッ,とっ,to,(1) *tap*;(2) *jump* *quiet impact*;(3) *step*,SFX for a soft landing like that of a ninja.
トボトボ,とぼとぼ,tobo tobo,*plod plod*,"To walk wearily, usually because something upsetting has happened."
トコトコ,とことこ,toko toko,(1) *trot trot**tmp tmp*;(2) *tp tp tp**tmp tmp*,"(1) SFX for walking, like *teku teku*;(2) SFX for walking with indoor shoes or canvas slippers"
トクトク,とくとく,toku toku,(1) *cluk cluk cluk**gluk gluk gluk*;(2) *gasping*,(1) Sound of pouring liquid quickly.
トクン,とくん,tokun,*heart thump*,"Harder heartbeat, see also *dokun*."
トン,とん,ton,(1) *tap* *tmp*;(2) *quiet impact*;(3) *jump* *hop*;(4) *rap*;(5) *point* *tap*,(1) Like on the shoulder;(2) Fairly quiet impact;(4) Like tapping fingers on the table;(5) To tap at something in order to point at it.
トンッ,とんっ,ton,*jump* *tmp*,SFX for a light impact sound.
トントン,とんとん,ton ton,(1) *tap tap**knock knock*;(2) *smack smack*;(3) *chop chop*,(1) Tapping on shoulder.  See also *don don*;(2) Sound of a hammer lightly nailing something;(3) Sound of something being chopped up on a chopping board.
トンデ,とんで,tonde,*jumping*,
トント,とんと,tonto,*strum* *twang* *jang* *jangle* *pluck*,"A strumming, twanging sound - like a guitar."
トントントン,とんとんとん,tontonton,*chop-chop-chop*,"As of food, or any other light continuous action.  See also *dondondon*."
トップリ,とっぷり,toppuri,*sunset*,For the sun to go down.
トプトプ,とぷとぷ,topu topu,*pour*,SFX for pouring something liquid.
トロトロ,とろとろ,toro toro,(1) *slowly*;(2) *drowsily*;(3) *doze off*;(4) *melting* *creamy*,"(3) See also *uto uto*;(4) When the liquid is slightly thicker than water, more like syrup."
トロリ,とろり,torori,*melting* *creamy*,"When the liquid is slightly thicker than water, more like syrup."
トス,とす,tosu,(1) *twok* *stab* *tp* *tunk*;(2) *thump* *drops* *thud*,"(1) SFX for stabbing something, or injecting something;(2) SFX for dropping something, or something landing after falling."
トテ,とて,tote,*toddle toddle*,See also *hote*.
トテトテ,とてとて,tote tote,*trot trot* *cluk cluk*,"To move around fussily, especially around the house."
トテチテタ,とてちてた,totechiteta,*blare* *trump* *tootle* *tralala**rootle-tootle*,SFX for the sound of a trumpet in the context of an army on the march.
トト,とと,toto,*strumming* *twanging* *plucking*,"A musical, beat-like, melodic sound - like a guitar."
トトト,ととと,tototo,*walking*,See also *teku* and *toko*.
トットット,とっとっと,tottotto,*trot trot trot**tap tap tap*,
ナデナデ,なでなで,nade nade,(1) *stroke stroke*;(2) *pat pat*,"(1) Stroke head, hair;(2) Patting a dog."
ナガナガ,ながなが,naga naga,*very long*,"Comes from the adjective ""long"" or 「長い」."
ナカナカ,なかなか,naka naka,(1) *hardly*;(2) *quite* *rather*,"Comes from the word ""rather"" or ""quite"" or 「中々」."
ナシ,なし,nashi,*smack*,See also *bashi* and *pashi*.
ニッ,にっ,ni,(1) *smile* *grin*;(2) *smirk* *heh*,"(1) See also *niko* and *nita*;(2) To smile in a sarcastic, ironic way (can be in a teasing, or mean manner)"
ニー,にー,ni-,*smiiiiiile*,
ニチャー,にちゃー,nicha-,(1) *sticky-*;(2) *smirk* *grin*,(1) Texture;(2) A very mischievous and somewhat scary smile.
ニカッ,にかっ,nika,*grin* *smile*,Can be innocent or cheeky
ニッコニッコ,にっこにっこ,nikko nikko,*smile smile* *smiling* *laugh* *grin grin*,
ニッコリ,にっこり,nikkori,*sweet smile* *smile* *grin*,"Flashing a grin or smile, somewhat stronger than *nikori* (ニコリ)."
ニコッ,にこっ,niko,(1) *smile* *grin*;(2) *smirk*,(1) See also *nipa* and *nita*.
ニコ,にこ,niko,*smile* *grin*,"SFX for a pleasant, relaxed smile."
ニコニコ,にこにこ,niko niko,*smile smile**smiling**laugh*,
ニニニ,ににに,ninini,*loud buzz* *alarm* *clang clang clang*,
ニパ,にぱ,nipa,*smile*,Usually innocent.
ニパー,にぱー,nipa-,*brilliant smile* *grin*,See also *niko* and *nita*.
ニショ,にしょ,nisho,*oof!* *umph!*,"Effort, strain.  See also *nsho*, *nshotto*, and *yoisho*."
ニタ,にた,nita,*sinister smile**smirk*,See also *niko* and *nipa*.
ニタァ,にたぁ,nitaa,*smirk* *sneer* *evil grin*,
ニヤ,にや,niya,*grin* *smirk*,
ニヤニヤ,にやにや,niya niya,*grin**grinning**laugh**giggle**smile**heh heh*,SFX for a fiendish grin.
ニヤリ,にやり,niyari,*grin* *leer*,Usually evil grin.
ニャニャ,にゃにゃ,nya nya,*meow*,Sound of a cat.
ニャア,にゃあ,nyaa,*mew* *meow**mreeoow*,SFX for the yowling of a cat.
ニャァー,にゃぁー,nyaa-,*meow*,SFX for a cat meowing.
ニャリ,にゃり,nyari,(1) *leer*;(2) *grin* *evil grin*;(3) *heh*,"(3) Laughing or smiling in a derogatory, teasing, or teasingly evil manner."
ニョキニョキ,にょきにょき,nyoki nyoki,*growing* *popping out*,"Sound for something growing, i.e. Mushrooms."
ニョロニョロ,にょろにょろ,nyoro nyoro,*wiggle wiggle* *slithering*,"SFX for snake poking its head out slowly, ex. Ayame in Furuba."
ニュルニュル,にゅるにゅる,nyuru nyuru,*smiley**grin grin**smile smile**hehe*,
ニュルゥリ,にゅるぅり,nyuruuri,*bleegghh* *blaagghh* *blegh* *blagh*,"SFX for something coming out of one's mouth, like a tongue.  Can be used in a comedic or satirical context.See also *nyuru*."
ヌッ,ぬっ,nu,*poke out* *creep*,"From behind, has mysteriousness attached to it (ghostly), usually with the effect of startling someone."
ヌ？,ぬ？,nu,*hey?**hmm?*,
ヌ,ぬ,nu,(1) *thwap*;(2) *scared* *frightened*,
ヌヌヌ,ぬぬぬ,nu nu nu,*hmmmm* *grrrrr*,
ヌー,ぬー,nu-,*menace*,
ヌブ,ぬぶ,nubu,*thwap*,
ヌチ,ぬち,nuchi,*stroke*,
ヌギッ,ぬぎっ,nugi,*unzip* *reveal* *undress*,
ヌケヌケ,ぬけぬけ,nuke nuke,*nonchalantly*,
ヌケヌケト,ぬけぬけと,nuke nuke to,*nonchalantly*,
ヌクヌク,ぬくぬく,nuku nuku,*snuggly**nice and warm**cozy*,
ヌメヌメ,ぬめぬめ,nume nume,*squelch squelch**squish squish*,"SFX for moving through something sticky and slimy, like through mud.  See also *nuru nuru*."
ヌル,ぬる,nuru,(1) *slimey*;(2) *greasing* *soaping* *making slippery*,
ヌルヌル,ぬるぬる,nuru nuru,*slippery**slimey*,"Ex: ""Bottom of the pool is slippery""Ex: ""Slimey seaweed is disgusting"""
ヌルン,ぬるん,nurun,*greasing* *soaping* *making slippery*,
ネバ,ねば,neba,*sticky*,
ネバネバ,ねばねば,neba neba,*very sticky**viscous*,FYI: Viscous means a liquid substance that is very thick and not watery.
ネチネチ,ねちねち,nechi nechi,*firm**stuck**not budging*,
ノンビリ,のんびり,nonbiri,(1) *slow**relax**leisurely**laid back*;(2) *dally*,
ノロ,のろ,noro,*slow**sluggish*,
ノロノロ,のろのろ,noro noro,*slow* *sluggish*,To do things slowly.
ノソノソ,のそのそ,noso noso,*slowly**lazily**heavily**sluggishly**dawdle*,See also *nosori-nosori* and *nossori*.
ノソリノソリ,のそりのそり,nosori nosori,*slowly**lazily**heavily**sluggishly*,See also *noso noso* and *nossori*.
ノッシノッシ,のっしのっし,nosshi nosshi,*ka-thump ka-thump*,"SFX for heavy, lumbering footsteps or thuds."
ノッソリ,のっそり,nossori,*slowly**lazily**heavily**sluggishly*,See also *noso noso* and *nosori nosori*.
バ,ば,ba,(1) *arrows shooting*;(2) *whoosh* *fwoosh*;(3) *fling*;(4) *shake*;(5) *tears off*;(6) *clench* *grab*;(7) *push*;(8) *whipping*;(9) *sudden impact**bam* *bang**crash* *ka-boom**thump* *thud**wham* *whomp*;(10) *suddenly**jolt* *startle**aback*;(11) *unmask**reveal**show**appeara*;(12) *realize**epiphany**suddenly*;(13) *rush* dash*;(14) *slap* *smack*;(15) *reach*,"(5) Ex: tearing off clothing;(7) Ex: pushing open the curtains;(9) See also *bagu*, *baki*, *ban*, *bashi*, *bata*, *batan*, *bokan*, *bun*, *dan*, *doka*, *don*, *doshin*, *dote*, *ga*, *ka*, *kon*, *paka*, *pan*, *pashi*, *patan*, *poka*, *pon*, *to*, and *ton*;(10) Very sudden, abrupt, unexpected movement, also used when quickly grabbing something; see also *baba*;(11) From the word ""bakenokawawohagu"" or ""to unmask"";(12) To realize something suddenly, stronger than *ha*; see also *baba*."
バッ,ばっ,ba,(1) *let go*;(2) *flicker*;(3) *extend*;(4) *surprise*;(5) *turn suddenly* *turn around* *turn* *whirls around* *whirl*;(6) *whap* *slap*;(7) *fwip*;(8) *zoom* *suddenly appears*;(9) *jump*,"(2) SFX for when lights come on;(3) Extending out your hand to someone;(7) Sudden motion;(8) Sudden appearance, like in a fight"
バーイン,ばーいん,ba-in,*boing*,SFX for something bouncy or bouncing out.See also *baiin*.
バーン,ばーん,ba-n,(1) *bang* *bam* *ka-wham*;(2) *burst open*,
バア,ばあ,baa,*rise* *up*,
バアン,ばあん,baan,(1) *bam* *ta-da**BAM!**tah-dah* *ta-dah*;(2) *slam*,"(1) SFX for something being presented in an enthusiastic way, with extra emphasis;(2) SFX for slamming a door"
バァンッ,ばぁんっ,baan,*slam* *bam* *bang*,"SFX for loud impact, like slamming a door."
ババ,ばば,baba,(1) *suddenly**jolt* *startle**aback*;(2) *realize**epiphany**suddenly*,"(1) Very sudden, abrupt, unexpected movement, also used when quickly grabbing something; see also *ba*;(2) To realize something suddenly, stronger than *ha*; see also *ba*."
バババ,ばばば,bababa,(1) *arrows shooting*;(2) *spin* *whoom whoom*,"(1) See also *ba*;(2) SFX for machinery at work, i.e. helicopter blades spinning very fast."
バブーバブー,ばぶーばぶー,babu- babu-,*goo goo**ga ga**gah gah**gaa gaa*,SFX for human baby talk.
バッチリ,ばっちり,bacchiri,*precise**accurate**proper*,
バチャ,ばちゃ,bacha,*splat**wet splat*,"The sound of something wet or moist making impact.This is composed of the sound of impact *ba* + the sound of light, wet impact *cha* or *chaku*."
バチャバチャ,ばちゃばちゃ,bacha bacha,*splash splash* *splatter*,SFX for splattering or water splashing repeatedly.
バチャン,ばちゃん,bachan,*splash*,SFX for a single splash.
バチ,ばち,bachi,*crackle*,"SFX for electricity, or emphasis for an intense and powerful moment.See also *bari* and *biri*."
バチバチ,ばちばち,bachi bachi,*crackle crackle* *buzz buzz*,SFX for floating electricity.
バチン,ばちん,bachin,(1) *slap*;(2) *bzz!*,(2) SFX for when electricity suddenly goes off.
バチンバチン,ばちんばちん,bachin bachin,*heavy typing**tap tap*,
バチュ,ばちゅ,bachu,*slap**smack*,
バフ,ばふ,bafu,*baf**thud**plop*,"The sound of deflation or air cushion, sound heard when plopping onto a bed or couch or something soft."
バグ,ばぐ,bagu,*impact**bam**bap**thunk**thud**bump*,
バヒュ,ばひゅ,bahyu,*launch*,"Sound of launching something, such as a missile."
バイイン,ばいいん,baiin,*boing*,SFX for something bouncy or bouncing out.See also *ba-in*.
バカーン,ばかーん,baka-n,*crash* *smash*,SFX for a rather dramatic clattering or physical impact.
バキッ,ばきっ,baki,(1) *snap* *whack*;(2) *slam* *punch*;(3) *crush* *bam*;(4) *snap* *crack*,"Common impact sound, or common ""loud"" sound.(1) See also *poki*;(4) SFX for something breaking in half."
バックン,ばっくん,bakkun,*th-thump* *tha-dump* *thadump* *ba-dump*,
バコッ,ばこっ,bako,*ka-bam**smack**crash*,SFX for a slightly lighter kind of crashing or thudding sound.
バク,ばく,baku,(1) *excited trembling*;(2) *tremble tremble**shake shake**nervous*,(1) A variation of *waku waku*; sudden movement *ba* + rumbling *ku*.See also *waku waku*.See also *baku baku* and *bakun*.
バクバク,ばくばく,baku baku,(1) *munch munch**chomp chomp*;(2) *thump thump*;(3) *excited trembling*;(4) *tremble tremble**shake shake**nervous*,(1) SFX to eat quickly and wildly;(2) Heart beating very fast from being surprised;(3) A variation of *waku waku*; sudden movement *ba* + rumbling *ku*.See also *waku waku*.See also *baku* and *bakun*.
バキューン,ばきゅーん,bakyu-n,*THWOK* *ker-wham*,"SFX for a powerful impact, like a super punch or crashing effect."
バキュン,ばきゅん,bakyun,*zoom* *fwoom* *vwoom* *shoom* *ka-fwoom* *ka-shoom*,"SFX for a sudden burst of speed, like a sudden speedy dash or rocket launching."
バム,ばむ,bamu,(1) *bite* *chew**gum* *gnaw**nibble* *glomp*;(2) *glomp*,(2) Sound one makes when latching onto something with one's mouth; eating or sucking something.Stronger effect than *hamu*.
バン,ばん,ban,(1) *bang* *bam**ka-wham* *strike*;(2) *bam!* *here!*;(3) *open*;(4) *slam* *bang*,(2) SFX for when showing something amazing to someone.(3) Like opening a door.Stronger action than *pan*.See also *don*.
バンッ,ばんっ,ban,(1) *bang!* *bam!* *slam!*;(2) *crash*,Like when throwing open a door with a lot of force.
バラ,ばら,bara,(1) *rattle*;(2) *scattered**dispersed**loose**disconnected**in pieces**in drops**rustling*,"See also *bara bara*, *chara chara*, and *gara gara*."
バラバラ,ばらばら,bara bara,(1) *loose*;(2) *scattered**disperse**disconnected**in pieces**in drops**rustling*;(3) *broken**battered*;(4) *fwp* *flap* *flip*;(5) *shoom shoom**fwoom fwoom**spin spin*,"(1) Something suddenly falling apart, Ex: suddenly the cloud loosed a thunderbolt;(2) Ex: Falling rain, a randomly-moving crowd, a jigsaw puzzle in many pieces;(3) Ex: A mutilated corpse;(4) SFX for fluttering paper-like material, like falling paper;(5) SFX for helicopter blades spinning.See also *bara*, *chara chara*, and *gara gara*."
